gene_a,gene_b,auroc
EPAS1,TOP2A,0.7275212456171629
CDK1,EPAS1,0.7191715695013965
EPAS1,MKI67,0.7100493254887977
CCNB1,EPAS1,0.7030665002674273
PGK1,TOP2A,0.6971830985915493
CDK1,PGK1,0.6965591014441077
PDK1,TOP2A,0.6932311166577525
CXCR4,EPAS1,0.6909431271171332
PFKP,TOP2A,0.6886254234266358
CCNB1,PGK1,0.6873180008319962
CDK1,PFKP,0.6870802876329708
CCNB1,PFKP,0.6858322933380876
CDK1,PDK1,0.684703155642717
MCM2,TOP2A,0.6829500207999049
CDK1,KRT7,0.682444880251976
CDK1,SLC22A8,0.6815534557556308
SLC22A8,TOP2A,0.6811077435074583
ACTB,EPAS1,0.679354608664646
MKI67,SLC22A8,0.6772151898734178
CUBN,TOP2A,0.6751054852320675
MKI67,PDK1,0.674867772033042
KRT7,TOP2A,0.6743626314851132
EPAS1,RPL13A,0.6742437748856005
EPAS1,PCNA,0.6736197777381588
MKI67,PGK1,0.6735900635882807
CCNB1,PDK1,0.6730552088904735
LRP2,TOP2A,0.6717180721459559
BHLHE40,TOP2A,0.6710643608486362
CDK1,CUBN,0.6701135080525347
BHLHE40,CDK1,0.6698757948535092
MKI67,PFKP,0.6694300826053367
EPAS1,MMP9,0.6685089439591134
KRT7,MKI67,0.6680038034111844
CDK1,COL4A2,0.6678255185119153
ALB,CDK1,0.6670232364652048
ALB,TOP2A,0.665507814821418
DDIT4,EPAS1,0.6654186723717835
MCM2,MKI67,0.6651215308730017
CDK1,PAX2,0.6640815356272657
CDK1,SPP1,0.6636952516788495
CDK1,LRP2,0.6634278243299458
COL4A2,TOP2A,0.663249539430677
CUBN,MKI67,0.6631306828311643
CCNB1,KRT7,0.6631306828311642
ALDOA,CDK1,0.662239258334819
ALDOA,CCNB1,0.6621501158851846
BHLHE40,CCNB1,0.6620015451357937
ALB,MKI67,0.661704403637012
COL4A2,EPAS1,0.6614369762881085
CDK1,MCM2,0.6612586913888394
PAX2,TOP2A,0.6611992630890831
TOP2A,VEGFA,0.6608724074404231
LRP2,MKI67,0.6608129791406668
CDK1,VEGFA,0.6607238366910322
CALB1,CDK1,0.6591787008973673
CDK1,PKM,0.6589112735484638
AGXT,CDK1,0.6586735603494385
ENO2,EPAS1,0.6585249896000475
AGXT,TOP2A,0.6581387056516314
BHLHE40,MKI67,0.6573067094550424
MKI67,PAX2,0.6567718547572354
CCNB1,CUBN,0.65653414155821
CCNB1,SLC22A8,0.6563855708088192
PCNA,PGK1,0.6553752897129613
SPP1,TOP2A,0.6551078623640578
EPAS1,NDUFA4L2,0.6549295774647887
ALDOA,TOP2A,0.6542164378677127
ANGPTL4,EPAS1,0.6540975812682
MKI67,VEGFA,0.6530278718725857
EPAS1,GAPDH,0.6527901586735603
EPAS1,LDHA,0.6526118737742913
CALB1,MKI67,0.6525524454745351
EPAS1,HK2,0.6520770190764842
PKM,TOP2A,0.6518095917275807
AGXT,MKI67,0.651690735128068
COL4A2,MKI67,0.6508587389314793
CCNB1,LRP2,0.6502644559339157
CALB1,TOP2A,0.6497296012361086
EPAS1,LDHB,0.6486896059903726
CCNB1,VEGFA,0.6480953229928091
CCNB1,COL4A2,0.6477387531942711
CCNB1,PKM,0.6476198965947584
CDK1,SLC12A1,0.6464313305996316
ALB,CCNB1,0.6459261900517026
CCNB1,MCM2,0.6458370476020682
HK2,TOP2A,0.6436382005110833
CA12,TOP2A,0.6423902062162001
CDK1,ENO1,0.6423010637665656
CDK1,HK2,0.6422416354668093
ENO1,TOP2A,0.6420930647174186
EPAS1,SLC2A1,0.6419742081179058
CCNB1,PAX2,0.6417662090687586
CDK1,SLC2A1,0.6417067807690022
ALDOA,MKI67,0.6411124977714387
MKI67,SPP1,0.639775361026921
CA12,CDK1,0.6396267902775301
SLC12A1,TOP2A,0.6381410827836216
EPAS1,S100A4,0.6379925120342307
MKI67,SLC12A1,0.6379330837344744
CALB1,CCNB1,0.6379033695845961
CA9,CDK1,0.6374279431865454
CA12,CCNB1,0.6368633743388601
EPAS1,MCM2,0.6360016639923932
CCNB1,SPP1,0.6358828073928805
CDK1,LDHA,0.6348428121471443
SLC2A1,TOP2A,0.6347239555476317
CUBN,LDHB,0.6345159564984846
MKI67,PKM,0.6332679622036014
CCNB1,ENO1,0.6327628216556724
ACTB,KRT7,0.6326736792060379
LDHA,PGK1,0.6326439650561597
CA9,EPAS1,0.6326142509062815
CDK1,PCNA,0.6323468235573779
GAPDH,PGK1,0.6321982528079871
CCNB1,HK2,0.6319011113092055
CCNB1,SLC2A1,0.6317822547096927
PCNA,PFKP,0.6315148273607891
LDHA,TOP2A,0.6314256849111547
LDHB,LRP2,0.6314256849111547
CDK1,GAPDH,0.6307719736138349
HK2,MKI67,0.6305936887145659
CCNB1,LDHA,0.6289594104712665
CCNB1,SLC12A1,0.6282165567243122
AGXT,CCNB1,0.6281868425744339
PCNA,TOP2A,0.6281868425744339
ENO1,MKI67,0.6273845605277233
CA9,TOP2A,0.6261068520829619
LDHB,PAX2,0.6259879954834492
KRT7,LDHB,0.6257502822844239
